Biała Podlaska,Białystok,Bielsko - Biała,Bydgoszcz,Chełm,Ciechanów,Cieszyn,Częstochowa,Elbląg,Gdańsk,Gorzów Wielkopolski,Jelenia Góra,Kalisz,Katowice,Kielce,Konin,Koszalin,Kraków,Krosno,Legnica,Leszno,Lublin,Łomża,Łódź,Nowy Sącz,Olsztyn,Opole,Ostrołęka,Piła,Piotrków Trybunalski,Płock,Poznań,Przemyśl,Radom,Rzeszów,Siedlce,Sieradz,Skierniewice,Słupsk,Suwałki,Szczecin,Tarnobrzeg,Tarnów,Toruń,Wałbrzych,Warszawa,Włocławek,Wrocław,Zakopane,Zamość,Zielona Góra
Biała Podlaska,0,145.913,477.855,466.93,123.875,224.517,506.246,379.297,413.474,469.363,629.822,629.838,411.183,422.5,264.774,382.875,679.531,380.845,356.743,593.402,510.152,131.208,168.739,300.975,442.232,344.005,502.636,185.55,560.603,296.122,268.248,474.829,324.159,187.781,300.153,69.367,365.292,237.12,604.412,279.478,737.606,255.967,377.134,423.146,599.728,161.272,370.839,519.066,493.833,181.084,617.989
Białystok,145.913,0,549.363,493.779,267.949,195.752,568.374,417.413,369.517,425.406,656.671,656.688,438.032,489.142,374.259,409.724,628.378,490.33,545.512,620.252,537.001,248.503,85.092,327.825,559.281,228.257,529.486,118.97,587.452,334.238,274.07,501.678,456.16,302.432,417.448,152.739,392.141,274.482,560.456,130.99,764.455,438.521,502.641,449.996,626.577,201.251,397.688,545.916,603.318,332.047,644.838
Bielsko - Biała,477.855,549.363,0,458.71,428.537,411.538,40.775,139.286,623.402,571.618,525.269,345.231,291.876,58.814,211.744,374.793,768.469,123.712,257.322,308.795,353.738,401.024,497.782,256.877,156.956,531.038,169.318,471.922,529.11,209.742,357.851,438.852,320.077,291.271,240.762,437.618,240.949,297.514,655.436,642.674,633.053,264.91,156.622,414.926,315.12,346.879,362.618,250.223,121.362,380.244,420.056
Bydgoszcz,466.93,493.779,458.71,0,538.542,222.272,488.575,337.614,219.604,167.819,210.693,458.759,180.043,409.343,361.182,122.922,191.651,478.764,547.264,387.067,200.79,464.928,453.935,229.409,586.055,232.692,431.07,298.219,88.7,263.509,170.046,144.997,605.821,362.331,515.863,406.187,293.725,249.529,200.4,443.009,257.414,460.894,485.77,45.706,370.682,309.901,113.091,288.072,575.742,556.363,288.157
Chełm,123.875,267.949,428.537,538.542,0,344.545,507.548,396.199,529.018,584.906,700.205,642.445,431.383,433.816,263.909,453.258,749.914,354.848,254.295,606.009,616.628,70.195,289.466,371.358,339.784,459.548,544.156,339.151,630.986,295.604,356.861,545.212,195.762,186.916,197.705,183.14,377.898,289.004,734.039,400.205,807.989,175.084,274.686,493.53,612.334,249.884,441.222,531.673,450.307,62.297,688.372
Ciechanów,224.517,195.752,411.538,222.272,344.545,0,436.633,285.672,189.112,245.001,462.558,506.331,243.026,357.402,270.935,205.318,447.973,387.005,442.188,469.895,342.889,270.016,111.27,177.468,455.956,119.643,379.129,75.947,309.073,230.913,81.941,307.565,500.744,199.107,410.787,150.899,241.784,120.902,380.051,249.115,570.342,335.197,399.317,160.953,476.22,97.832,123.575,395.559,499.993,361.451,450.725
Cieszyn,506.246,568.374,40.775,488.575,507.548,436.633,0,151.043,646.325,594.54,512.389,332.352,278.997,88.978,241.908,397.716,755.59,153.877,335.529,295.916,340.859,431.189,520.705,279.799,197.871,553.961,156.439,494.844,516.231,232.665,380.774,425.973,398.284,321.435,318.969,460.54,235.744,320.437,678.358,665.597,620.173,343.117,234.829,437.849,302.241,369.802,385.541,237.344,162.277,458.451,407.177
Częstochowa,379.297,417.413,139.286,337.614,396.199,285.672,151.043,0,494.105,442.321,492.443,343.748,147.409,73.591,132.827,245.496,542.014,143.011,324.663,307.312,292.78,312.807,368.485,127.58,250.303,401.741,101.913,342.625,423.086,80.445,228.554,337.45,387.418,198.425,308.103,308.321,111.652,168.217,526.139,513.377,600.227,216.273,223.963,285.629,313.637,217.582,233.322,207.825,239.99,447.585,418.573
Elbląg,413.474,369.517,623.402,219.604,529.018,189.112,646.325,494.105,0,60.3,343.567,717.016,388.452,568.087,456.164,333.056,263.272,572.235,627.417,680.58,445.003,456.589,255.638,388.153,641.185,111.584,589.814,231.909,237.231,422.253,246.34,389.211,685.974,384.336,596.016,341.206,452.469,304.803,195.35,321.443,377.718,520.426,584.546,220.945,686.905,283.062,271.835,606.244,734.486,548.024,532.371
Gdańsk,469.363,425.406,571.618,167.819,584.906,245.001,594.54,442.321,60.3,0,330.037,665.76,337.196,516.831,468.67,281.799,192.6,586.251,654.752,629.324,393.747,512.243,311.292,336.897,693.543,167.238,538.558,287.563,223.701,370.996,251.021,337.955,713.309,469.818,623.351,396.86,401.213,357.017,124.678,377.098,355.549,568.382,593.258,169.688,635.649,338.716,220.579,554.988,683.23,603.678,481.114
